Airline,Route,sentiment_score
EVA Air,Los Angeles to Kuala Lumpur via Taipei,0.9583
Qatar Airways,Los Angeles to Lagos via Doha,0.8108
Turkish Airlines,Los Angeles to Lahore via Istanbul,-0.5418
Qatar Airways,Los Angeles to Male via Doha,0.5242
Korean Air,Los Angeles to Manila via Seoul,0.8605
Korean Air,Los Angeles to Manila via Seoul,0.7937
EVA Air,Los Angeles to Manila via Taipei,0.9399
EVA Air,Los Angeles to Manila via Taipei,0.9915
Japan Airlines,Los Angeles to Manila via Tokyo,0.9636
Japan Airlines,Los Angeles to Manila via Tokyo Narita,0.996
Turkish Airlines,Los Angeles to Minsk via Los Angeles,-0.1263
Emirates,Los Angeles to Mumbai via Dubai,0.9285
Emirates,Los Angeles to Mumbai via Dubai,0.9837
Singapore Airlines,Los Angeles to Mumbai via Singapore,0.9777
Qatar Airways,Los Angeles to Nairobi via Doha,-0.8586
Korean Air,Los Angeles to New Delhi via Seoul,0.969
Turkish Airlines,Los Angeles to Nursultan via Istanbul,-0.6141
Cathay Pacific Airways,Los Angeles to Okinawa via Hong Kong,0.972
Japan Airlines,Los Angeles to Osaka,0.899
Air France,Los Angeles to Papeete,0.7299
Air France,Los Angeles to Papeete,0.9172
Air France,Los Angeles to Paris,-0.743
Air France,Los Angeles to Paris,0.9371
Air France,Los Angeles to Paris,-0.5423
Air France,Los Angeles to Paris,-0.8727
Air France,Los Angeles to Paris,-0.703
Air France,Los Angeles to Paris CDG,0.9571
Turkish Airlines,Los Angeles to Paris via Istanbul,-0.9312
Turkish Airlines,Los Angeles to Podgorica via Istanbul,-0.8048
Turkish Airlines,Los Angeles to Samara via Istanbul,-0.9679
Korean Air,Los Angeles to Seoul,0.8139
Korean Air,Los Angeles to Seoul,-0.796
Korean Air,Los Angeles to Seoul,0.9861
All Nippon Airways,Los Angeles to Shanghai via Tokyo,0.9969
Singapore Airlines,Los Angeles to Singapore,0.886
Singapore Airlines,Los Angeles to Singapore,-0.8925
Singapore Airlines,Los Angeles to Singapore,0.9741
Singapore Airlines,Los Angeles to Singapore,0.7727
Singapore Airlines,Los Angeles to Singapore,-0.8832
Singapore Airlines,Los Angeles to Singapore,-0.9698
Singapore Airlines,Los Angeles to Singapore,0.6115
Cathay Pacific Airways,Los Angeles to Singapore via Hong Kong,-0.9853
Korean Air,Los Angeles to Singapore via Seoul,0.0258
Cathay Pacific Airways,Los Angeles to Surabaya via Hong Kong,-0.8694
Air France,Los Angeles to Tahiti,0.7709
EVA Air,Los Angeles to Taipei,0.99
EVA Air,Los Angeles to Taipei,0.8916
EVA Air,Los Angeles to Taipei,0.9946
EVA Air,Los Angeles to Taipei,0.988
EVA Air,Los Angeles to Taipei,0.9099
EVA Air,Los Angeles to Taipei,0.891
Emirates,Los Angeles to Tehran via Dubai,-0.8739
Turkish Airlines,Los Angeles to Tehran via Istanbul,0.9775
Turkish Airlines,Los Angeles to Tehran via Istanbul,-0.5267
Turkish Airlines,Los Angeles to Tehran via Istanbul,0.9357
Turkish Airlines,Los Angeles to Tel Aviv via Istanbul,0.0734
Turkish Airlines,Los Angeles to Tel Aviv via Istanbul,0.9807
Turkish Airlines,Los Angeles to Tel Aviv via Istanbul,-0.8379
Turkish Airlines,Los Angeles to Tirana via Istanbul,0.8396
Singapore Airlines,Los Angeles to Tokyo,0.929
All Nippon Airways,Los Angeles to Tokyo Haneda,0.92
All Nippon Airways,Los Angeles to Tokyo Haneda,0.6124
Singapore Airlines,Los Angeles to Tokyo Narita,0.931
Japan Airlines,Los Angeles to Tokyo Narita,0.9648
All Nippon Airways,Los Angeles to Tokyo Narita,0.9758
Air France,Los Angeles to Tunis via Paris,0.0369
Qatar Airways,Lusaka to Doha,-0.7845
Emirates,Lusaka to Dubai via London,-0.8265
Turkish Airlines,Luxembourg to Izmir via Istanbul,-0.8308
Qatar Airways,Luxor to London via Doha,-0.607
Turkish Airlines,Lviv to Chicago via Istanbul,-0.9235
Turkish Airlines,Lvov to Istanbul,-0.3447
Turkish Airlines,Lvov to Johannesburg via Istanbul,-0.9246
Emirates,Lyon to Bangkok via Dubai,0.996
Air France,Lyon to Düsseldorf via Paris CDG,-0.8435
Turkish Airlines,Lyon to Istanbul,-0.5199
Turkish Airlines,Lyon to Istanbul,0.4909
Air France,Lyon to Rome,-0.5824
Air France,Lyon to Venice via Paris,0.9468
Air France,Lyon to Washington via Paris,0.5267
Cathay Pacific Airways,MAA to HKG,0.9652
Qatar Airways,MAA to JFK via DOH,-0.3818
Qatar Airways,MAD to SIN via DOH,0.9732
Qatar Airways,MAN to BKK via DOH,0.9673
Turkish Airlines,MAN to BKK via IST,-0.5499
Turkish Airlines,MAN to BUS via IST,0.9648
Qatar Airways,MAN to DOH,0.8716
Emirates,MAN to DXB,0.969
Emirates,MAN to DXB,-0.9708
Emirates,MAN to DXB,0.9941
Emirates,MAN to DXB,0.9974
Qatar Airways,MAN to GOI via DOH,0.7717
Qatar Airways,MAN to GOI via DOH,0.9816
Qatar Airways,MAN to HAN via DOH,0.9042
Qatar Airways,MAN to HKT via DOH,-0.8065
Qatar Airways,MAN to ISB via DOH,0.994
Air France,MAN to JNB via CDG,0.7684
Emirates,MAN to JNB via DXB,0.7683
Emirates,MAN to KUL via DXB,0.8925
Emirates,MAN to KUL via DXB,0.447
Emirates,MAN to MEL via DXB,0.9622
Cathay Pacific Airways,MAN to MEL via HKG,0.9706
Air France,MAN to MRU via CDG,-0.0772
Emirates,MAN to MRU via DXB,0.9153
Emirates,MAN to NRT via DXB,0.9584
Singapore Airlines,MAN to SIN,0.8592
Qatar Airways,MAN to SIN via DOH,-0.8591
Cathay Pacific Airways,MAN to SYD to HKG,-0.8357
Cathay Pacific Airways,MAN to SYD via HKG,0.9607
Emirates,MCO to DXB,0.9736
Qatar Airways,MCT to COK via DOH,0.8807
Emirates,MCT to JFK via DXB,0.9091
Emirates,MCT to SIN via DXB,0.9882
Emirates,MEL to AKL,0.5215
Singapore Airlines,MEL to AMS via SIN,0.6189
Cathay Pacific Airways,MEL to CMB via HKG,0.9063
Emirates,MEL to CMB via SIN,-0.9231
Qatar Airways,MEL to CMN via DOH,0.9482
Qatar Airways,MEL to CPH via DOH,0.6686
Singapore Airlines,MEL to DEL via SIN,0.9463
Qatar Airways,MEL to FCO via DOH,0.9639
Singapore Airlines,MEL to HAN via SIN,0.9883
Cathay Pacific Airways,MEL to HKG,0.9459
Cathay Pacific Airways,MEL to KIX visa HKG,0.8486
Emirates,MEL to KUL,-0.6938
Emirates,MEL to KUL,0.9654
Emirates,MEL to LHE via DXB,0.431
Cathay Pacific Airways,MEL to LHR via HKG,0.6306
Singapore Airlines,MEL to LHR via SIN,-0.7681
Singapore Airlines,MEL to LHR via SIN,0.995
Cathay Pacific Airways,MEL to MAD via HKG,-0.7393
Qatar Airways,MEL to MUC via DOH,-0.9079
Cathay Pacific Airways,MEL to NRT via HKG,-0.7471
Singapore Airlines,MEL to SIN,0.9887
Singapore Airlines,MEL to SIN,0.5061
Singapore Airlines,MEL to SIN,0.8271
Singapore Airlines,MEL to SIN,0.9694
Singapore Airlines,MEL to SIN,0.8717
Singapore Airlines,MEL to TRV via SIN,0.9696
Turkish Airlines,MIA to IST,-0.9595
Turkish Airlines,MIA to TLV via IST,0.8439
Turkish Airlines,MIami to Istanbul via Kyiv,0.9412
Turkish Airlines,MLA to IST,0.8316
Turkish Airlines,MLA to JRO via IST,0.9051
Emirates,MLE to BHX via DXB,0.8652
Emirates,MLE to LHR via DXB,0.9084
Cathay Pacific Airways,MNL to AKL via HKG,0.9517
Cathay Pacific Airways,MNL to BAH,0.9663
Singapore Airlines,MNL to DPS via SIN,0.8656
Qatar Airways,MNL to DXB via DOH,-0.5613
Qatar Airways,MNL to GVA via DOH,0.9878
Cathay Pacific Airways,MNL to HKG,0.9305
Emirates,MNL to IAD via DXB,-0.8568
Korean Air,MNL to JFK via ICN,0.807
Korean Air,MNL to LAS,0.9231
Cathay Pacific Airways,MNL to LGW via HKG,0.9814
Qatar Airways,MNL to LHR via DOH,0.9197
Singapore Airlines,MNL to MEL via SIN,0.9933
Turkish Airlines,MNL to MUC via IST,0.9727
Cathay Pacific Airways,MNL to ORD via HKG,0.9939
EVA Air,MNL to SFO via Taipei,0.9097
Singapore Airlines,MNL to SGN via SIN,0.9593
Singapore Airlines,MNL to SIN,-0.8576
Singapore Airlines,MNL to SIN,0.9704
EVA Air,MNL to TPE,0.8519
Cathay Pacific Airways,MNL to YVR via HKG,0.9298
Air France,MRS to YYZ via CDG,0.9885
Emirates,MRU to CAN via DXB,0.9661
Emirates,MRU to DXB,0.9846
Emirates,MRU to JED via DXB,-0.9007
Air France,MSP to CDG,-0.3637
Qatar Airways,MUC to AKL via DOH,-0.8791
Qatar Airways,MUC to BKK via DOH,0.9829
Turkish Airlines,MUC to BKK via IST,-0.2848
Emirates,MUC to CPT via DXB,-0.8749
Qatar Airways,MUC to DOH,-0.8799
Turkish Airlines,MUC to IST,0.9776
Turkish Airlines,MUC to IST,0.955
Qatar Airways,MUC to KUL via DOH,0.9101
Cathay Pacific Airways,MXP to AKL via HKG,0.9581
Cathay Pacific Airways,MXP to AKL via HKG,0.9767
Turkish Airlines,MXP to BKK via IST,0.9845
Emirates,MXP to JFK,0.714
Emirates,MXP to JFK,0.743
Emirates,MXP to JFK,0.9885
Turkish Airlines,MXP to SFO via IST,0.9506
Singapore Airlines,MXP to SIN,0.9844
Qatar Airways,Madrid  to Hong Kong via Doha,0.932
Turkish Airlines,Madrid to Addis Ababa via Istanbul,-0.9595
Turkish Airlines,Madrid to Alexandria via Istanbul,-0.9595
Emirates,Madrid to Bangkok via Dubai,0.9719
Emirates,Madrid to Colombo via Dubai,0.8832
Air France,Madrid to Cork via Paris,0.0
Qatar Airways,Madrid to Doha,0.7194
Qatar Airways,Madrid to Doha,0.34
Cathay Pacific Airways,Madrid to Hong Kong,0.4427
Qatar Airways,Madrid to Hong Kong via Doha,0.8298
Turkish Airlines,Madrid to Istanbul,0.6858
Air France,Madrid to Jakarta via Paris,-0.9471
Air France,Madrid to Johannesburg via Paris,-0.9622
Emirates,Madrid to Male via Dubai,-0.8047
Qatar Airways,Madrid to Manila via Doha,0.9843
Emirates,Madrid to Melbourne via Dubai,0.8047
Air France,Madrid to New York,0.9651
Air France,Madrid to Oslo via Paris,0.1779
Air France,Madrid to Paris,0.9747
Air France,Madrid to Paris,0.966
Turkish Airlines,Madrid to Singapore via Istanbul,-0.9906
Emirates,Madrid to Sydney via Dubai,0.9895
Qatar Airways,Madrid to Taif via Doha,0.9776
Turkish Airlines,Madrid to Tel Aviv via Istanbul,-0.9782
Cathay Pacific Airways,Madrid to Tokyo  via Hong Kong,0.825
Air France,Madrid to Washington via Paris,0.923
Qatar Airways,Mahe to Langkawi via Doha,-0.9915
Qatar Airways,Mahé to Doha,0.25
Qatar Airways,"Mahé, Seychelles to Doha",0.9602
Singapore Airlines,Makassar to Bangkok via Singapore,0.9646
Turkish Airlines,Malaga to Cairo via Istanbul,-0.9901
Turkish Airlines,Malaga to Cape Town via Istanbul,-0.5545
Turkish Airlines,Malaga to Mumbai via Istanbul,-0.8591
Turkish Airlines,Malaga to Sharm el Sheikh via Istanbul,0.2006
Qatar Airways,Malaga to Tehran via Doha,-0.8821
Turkish Airlines,Malaga to Tehran via Istanbul,0.9485
Turkish Airlines,Malaysia to Zurich via Istanbul,0.672
Emirates,Maldives to Boston via Dubai,-0.9053
Qatar Airways,Maldives to Doha,0.9577
Qatar Airways,Maldives to Miami via Doha,0.0772
Turkish Airlines,Male to Amsterdam via Istanbul,0.9441
Turkish Airlines,Male to Bucharest via Istanbul,-0.9344
Qatar Airways,Male to Chicago via Doha,0.095
Emirates,Male to Colombo,0.9623
Emirates,Male to Dubai,0.5353
Emirates,Male to Dubai,0.8991
Emirates,Male to Dubai,0.7579
Qatar Airways,Male to Frankfurt via Doha,0.8092
Emirates,Male to Frankfurt via Dubai,0.9877
Turkish Airlines,Male to Istanbul,-0.9392
Emirates,Male to London via Dubai,-0.9144
Qatar Airways,Male to Manchester via Doha,-0.9268
Qatar Airways,Male to Milan via Doha,-0.25
Turkish Airlines,Male to Rome via Istanbul,-0.9186
Turkish Airlines,Male to Vilnius via Istanbul,-0.165
Qatar Airways,Male to Zurich via Doha,-0.9472
Turkish Airlines,Malta to Almaty via Instambul,-0.8894
Turkish Airlines,Malta to Bali via Istanbul,-0.5504
Turkish Airlines,Malta to Boston via Istanbul,-0.7717
Turkish Airlines,Malta to Istanbul,-0.8658
Turkish Airlines,Malta to Kuala Lumpur via Istanbul,-0.0057
Emirates,Malta to Larnaca,-0.6746
Emirates,Malta to Male via Dubai,-0.6609
Turkish Airlines,Malta to Manila via Istanbul,-0.4585
Emirates,Malé to Dubai,0.9744
Air France,Malé to Paris CDG,-0.8693
Korean Air,Malé to Seoul,0.5789
Qatar Airways,Manchester to Adelaide via Doha,0.9632
Turkish Airlines,Manchester to Antalya,-0.9091
Cathay Pacific Airways,Manchester to Auckland and return via Hong Kong,-0.1154
Qatar Airways,Manchester to Auckland via Doha,0.2252
Qatar Airways,Manchester to Auckland via Doha,-0.8457
Qatar Airways,Manchester to Auckland via Doha,-0.9217
Qatar Airways,Manchester to Auckland via Doha,0.9073
Singapore Airlines,Manchester to Auckland via Singapore,0.9475
Qatar Airways,Manchester to Bangkok via Doha,0.9575
Qatar Airways,Manchester to Bangkok via Doha,0.9292
Qatar Airways,Manchester to Bangkok via Doha,0.697
Qatar Airways,Manchester to Bangkok via Doha,0.9325
Qatar Airways,Manchester to Bangkok via Doha,-0.9711
Emirates,Manchester to Bangkok via Dubai,0.7512
Air France,Manchester to Bangkok via Paris,-0.3112
Singapore Airlines,Manchester to Bangkok via Singapore,0.8674
Singapore Airlines,Manchester to Bangkok via Singapore,0.905
Air France,Manchester to Barcelona via Paris CDG,0.8573
Qatar Airways,Manchester to Brisbane via Doha,-0.2617
Emirates,Manchester to Brisbane via Dubai,-0.9378
Singapore Airlines,Manchester to Brisbane via Singapore,0.9062
Emirates,Manchester to Cape Town via Dubai,0.9241
Qatar Airways,Manchester to Cape town via Doha,-0.8981
Singapore Airlines,Manchester to Cebu via Singapore,-0.4988
Qatar Airways,Manchester to Colombo via Doha,0.9001
Qatar Airways,Manchester to Da Nang via Doha,0.9553
Turkish Airlines,Manchester to Dalaman,0.9703
Qatar Airways,Manchester to Delhi via Doha,0.9812
Emirates,Manchester to Delhi via Dubai,0.7027
Emirates,Manchester to Denpasar Bali via Dubai,-0.5266
Qatar Airways,Manchester to Doha,0.9921
Qatar Airways,Manchester to Doha,-0.8785
Qatar Airways,Manchester to Doha,0.9501
Emirates,Manchester to Dubai,0.8856
Emirates,Manchester to Dubai,0.9747
Emirates,Manchester to Dubai,-0.2732
Emirates,Manchester to Dubai,0.9742
Emirates,Manchester to Dubai,0.9286
Emirates,Manchester to Dubai,-0.8921
Emirates,Manchester to Dubai,-0.6132
Emirates,Manchester to Dubia,-0.4279
Emirates,Manchester to Durban via Dubai,-0.8993
Qatar Airways,Manchester to Entebbe via Doha,0.9874
Turkish Airlines,Manchester to Ercan via Istanbul,0.986
Turkish Airlines,Manchester to Ercan via Istanbul,-0.4939
Turkish Airlines,Manchester to Ercan via Istanbul,-0.9238
Emirates,Manchester to Faisalabad via Dubai,-0.402
Emirates,Manchester to Ho Chi Minh via Dubai,-0.6608
Cathay Pacific Airways,Manchester to Hong Kong,0.9779
Cathay Pacific Airways,Manchester to Hong Kong,0.9137
Singapore Airlines,Manchester to Houston,0.9784
Singapore Airlines,Manchester to Houston,0.9934
Singapore Airlines,Manchester to Houston,-0.1531
Singapore Airlines,Manchester to Houston,0.8549
Singapore Airlines,Manchester to Houston,0.6705
Qatar Airways,Manchester to Hyderabad via Doha,0.9467
Qatar Airways,Manchester to Islamabad via Doha,0.2708
Emirates,Manchester to Islamabad via Dubai,0.7391
Turkish Airlines,Manchester to Istanbul,0.128
Turkish Airlines,Manchester to Istanbul via Bangkok,-0.8398
Qatar Airways,Manchester to Jakarta via Doha,-0.9263
Emirates,Manchester to Jakarta via Dubai,0.9425
Turkish Airlines,Manchester to Johannesburg via Istanbul,-0.7579
Air France,Manchester to Johannesburg via Paris,-0.8735
Turkish Airlines,Manchester to Kathmandu via Istanbul,0.1665
Turkish Airlines,Manchester to Kayseri via Istanbul,-0.8819
Turkish Airlines,Manchester to Kiev via Istanbul,0.9831
Emirates,Manchester to Kolkata via Dubai,-0.8243
Emirates,Manchester to Kolkata via Dubai,0.7552
Qatar Airways,Manchester to Kuala Lumpur via Doha,-0.0196
Turkish Airlines,Manchester to Kuala Lumpur via Istanbul,-0.9329
Turkish Airlines,Manchester to Kuala Lumpur via Istanbul,0.9643
Qatar Airways,Manchester to Lahore VIA \DOHA,0.7753
Qatar Airways,Manchester to Lahore via Doha,0.9767
Turkish Airlines,Manchester to Manila via Istanbul,0.9116
Emirates,Manchester to Mauritius via Dubai,-0.9434
Emirates,Manchester to Mauritius via Dubai,-0.3048
Qatar Airways,Manchester to Melbourne via Doha,0.9402
Cathay Pacific Airways,Manchester to Melbourne via Hong Kong,-0.9824
Air France,Manchester to Miami via Paris,-0.9595
Emirates,Manchester to Muscat via Dubai,0.6851
Qatar Airways,Manchester to Nairobi via Doha,0.9692
Air France,Manchester to Paris,-0.2805
Air France,Manchester to Paris CDG,-0.1018
Air France,Manchester to Paris via Bangaluru,-0.85
Emirates,Manchester to Perth via Dubai,0.9438
Qatar Airways,Manchester to Phnom Penh via Doha,0.9798
Cathay Pacific Airways,Manchester to Phnom Phen via Hong Kong,0.987
Emirates,Manchester to Phuket via Dubai,-0.9111
Air France,Manchester to Sao Paulo via Paris,0.5574
Qatar Airways,Manchester to Seoul via Doha,0.9945
Singapore Airlines,Manchester to Singapore,-0.6249
Singapore Airlines,Manchester to Singapore,-0.2363
Singapore Airlines,Manchester to Singapore,0.9295
Qatar Airways,Manchester to Singapore via Doha,0.9771
Emirates,Manchester to Singapore via Dubai,0.8442
Emirates,Manchester to Singapore via Dubai,-0.8549
Qatar Airways,Manchester to Sydney via Doha,0.9693
Cathay Pacific Airways,Manchester to Sydney via Hong Kong,-0.9393
Cathay Pacific Airways,Manchester to Sydney via Hong Kong,-0.2023
Cathay Pacific Airways,Manchester to Sydney via Hong Kong,0.804
Singapore Airlines,Manchester to Sydney via Singapore,0.9895
Air France,Manchester to Tbilisi via Paris,0.8972
Cathay Pacific Airways,Manila to Amsterdam via Hong Kong,0.9812
Cathay Pacific Airways,Manila to Amsterdam via Hong Kong,0.9519
EVA Air,Manila to Amsterdam via Taipei,0.8957
Turkish Airlines,Manila to Ankara via Istanbul,-0.9804
Qatar Airways,Manila to Atlanta via Doha,0.9892
Singapore Airlines,Manila to Bangalore via Singapore,0.6486
Singapore Airlines,Manila to Bangkok via Singapore,-0.7096
Japan Airlines,Manila to Boston via Narita,0.9618
Turkish Airlines,Manila to Cancun via Istanbul,-0.9403
Emirates,Manila to Cape Town via Dubai,0.9482
Cathay Pacific Airways,Manila to Chengdu via Hong Kong,0.9642
Turkish Airlines,Manila to Copenhagen via Istanbul,-0.6705
Cathay Pacific Airways,Manila to Delhi via Hong Kong,-0.4282
Qatar Airways,Manila to Doha,0.4404
Qatar Airways,Manila to Doha,0.9638
Qatar Airways,Manila to Doha,0.9766
Qatar Airways,Manila to Doha,0.836
Emirates,Manila to Dubai,-0.7294
Singapore Airlines,Manila to Dubai via Singapore,-0.9929
Cathay Pacific Airways,Manila to Gatwick via Hong Kong,0.9821
Cathay Pacific Airways,Manila to Gatwick via Hong Kong,0.8775
Qatar Airways,Manila to Gothenburg via Doha,-0.4938
Cathay Pacific Airways,Manila to Hong Kong,0.988
Cathay Pacific Airways,Manila to Hong Kong,0.9793
Cathay Pacific Airways,Manila to Hong Kong,0.92
Cathay Pacific Airways,Manila to Hong Kong,0.9553
Cathay Pacific Airways,Manila to Hong Kong,0.9214
Cathay Pacific Airways,Manila to Hong Kong,-0.407
Cathay Pacific Airways,Manila to Hong Kong,0.8886
Cathay Pacific Airways,Manila to Hong Kong,0.9572
Cathay Pacific Airways,Manila to Hong Kong,0.4765
Cathay Pacific Airways,Manila to Hong Kong,0.9829
Singapore Airlines,Manila to Hong Kong via Singapore,0.967
EVA Air,Manila to Houston via Taipei,0.9513
Turkish Airlines,Manila to Istanbul,-0.4019
Turkish Airlines,Manila to Istanbul,-0.2693
Qatar Airways,Manila to Istanbul via Doha,0.5569
Singapore Airlines,Manila to Kuala Lumpur via Singapore,0.9678
Singapore Airlines,Manila to Kuala Lumpur via Singapore,-0.0387
Qatar Airways,Manila to London via Doha,-0.4561
Emirates,Manila to London via Dubai,0.9686
Singapore Airlines,Manila to London via Singapore,-0.8713
Cathay Pacific Airways,Manila to Los Angeles via Hong Kong,0.7147
Korean Air,Manila to Los Angeles via Seoul,-0.83
EVA Air,Manila to Los Angeles via Taipei,-0.5267
EVA Air,Manila to Los Angeles via Taipei,-0.6003
Japan Airlines,Manila to Los Angeles via Tokyo,0.9933
Qatar Airways,Manila to Manchester via Doha,0.9732
Qatar Airways,Manila to Manchester via Doha,0.9916
Qatar Airways,Manila to Miami via Doha,0.9974
Qatar Airways,Manila to Montreal via Doha,0.9992
Singapore Airlines,Manila to Munich via Singapore,0.9917
Cathay Pacific Airways,Manila to Nagoya via Hong Kong,-0.584
Korean Air,Manila to New York via Seoul,-0.9103
Korean Air,Manila to New York via Seoul-Incheon,0.8201
EVA Air,Manila to New York via Taipei,0.9975
All Nippon Airways,Manila to New York via Tokyo,0.8761
Cathay Pacific Airways,Manila to Newark via Hong Kong,0.9941
Cathay Pacific Airways,Manila to Newark via Hong Kong,0.9482
Qatar Airways,Manila to Paris via Doha,-0.295
Cathay Pacific Airways,Manila to San Diego via Hong Kong,-0.2716
EVA Air,Manila to San Francisco via Taipei,0.9776
Singapore Airlines,Manila to Singapore,-0.9494
Singapore Airlines,Manila to Singapore,0.9933
Singapore Airlines,Manila to Singapore,0.9493
Singapore Airlines,Manila to Sinhapore,0.9132
EVA Air,Manila to Taipei,0.9719
EVA Air,Manila to Taipei,0.9602
EVA Air,Manila to Taipei,0.6486
EVA Air,Manila to Taipei,0.9544
EVA Air,Manila to Taipei,-0.9773
Turkish Airlines,Manila to Tel Aviv via Istanbul,-0.883
All Nippon Airways,Manila to Tokyo,0.9858
All Nippon Airways,Manila to Tokyo,0.92
Japan Airlines,Manila to Tokyo,0.9371
All Nippon Airways,Manila to Tokyo Narita,0.9401
Korean Air,Manila to Toronto via Seoul Incheon,0.6486
All Nippon Airways,Manila to Vancouver via Tokyo,0.9959
Turkish Airlines,Manila to Vienna via Istanbul,-0.9042
Emirates,Manila to Washington Dulles via Dubai,-0.322
All Nippon Airways,Manila to Washington via Tokyo Narita,0.9751
Qatar Airways,Manila to Zurich via Doha,0.2263
Cathay Pacific Airways,Manila to Zurich via Hong Kong,0.1225
Turkish Airlines,Maputo to Almaty via Istanbul,0.1237
Qatar Airways,Maputo to Denpasar via Doha,-0.1006
Qatar Airways,Maputo to Doha,0.9791
Qatar Airways,Maputo to Lahore via Doha,0.9718
Qatar Airways,Maputo to Lahore via Doha,0.5106
Qatar Airways,Maputo to Rio de Janeiro via Doha,0.9672
Qatar Airways,Marrakech to Doha,0.9623
Air France,Marrakech to Istanbul via Paris,-0.6499
Turkish Airlines,Marrakesh to Los Angeles via Istanbul,-0.8905
Turkish Airlines,Marrakesh to Tel Aviv,-0.4963
Turkish Airlines,Marseille to Islamabad via Istanbul,-0.7693
Air France,Marseille to Montreal via paris,-0.974
Air France,Marseille to Paris,0.8677
Air France,Marseille to Paris-CDG,0.9909
Air France,Marseille to Singapore via Paris,-0.8979
Air France,Marseille to Tokyo via paris,0.9584
Air France,Marseilles to Athens,0.8376
Air France,Marseilles to Paris Orly,0.9737
Turkish Airlines,Mashad to London via Istanbul,-0.6163
Emirates,Maun to Dubai via Johannesburg,0.2881
Turkish Airlines,Mauritius to Amsterdam via Istanbul,0.9752
Emirates,Mauritius to Dubai,0.92
Emirates,Mauritius to Dubai,0.995
Turkish Airlines,Mauritius to Dublin via Istanbul,-0.8717
Emirates,Mauritius to Glasgow via Dubai,-0.8455
Air France,Mauritius to London,-0.3818
Emirates,Mauritius to London via Dubai,0.9744
Air France,Mauritius to London via Paris,0.1483
Turkish Airlines,Mauritius to Manchester via Istanbul,-0.9345
Air France,Mauritius to Paris,0.6705
Air France,Mauritius to Paris CDG,0.725
Air France,Mauritius to Vienna via Paris,0.4215
Emirates,Mauritius to Zurich via Dubai,-0.8336
Qatar Airways,Medina to Istanbul via Doha,0.9919
Turkish Airlines,Medina to Lahore via Istanbul,0.9645
Singapore Airlines,Melbourne to Ahmedabad via Singapore,0.9743
Emirates,Melbourne to Amsterdam via Dubai,-0.5994
Qatar Airways,Melbourne to Athens via Doha,0.9628
Qatar Airways,Melbourne to Athens via Doha,0.7845
Singapore Airlines,Melbourne to Athens via Singapore,0.9736
Emirates,Melbourne to Auckland,0.989
Emirates,Melbourne to Auckland,0.9788
Emirates,Melbourne to Auckland / Dubai,-0.8834
Singapore Airlines,Melbourne to Barcelona via Singapore,0.8937
Singapore Airlines,Melbourne to Beijing via Singapore,0.343
Singapore Airlines,Melbourne to Beijing via Singapore,0.9966
Qatar Airways,Melbourne to Belgrade via Doha,0.9089
Qatar Airways,Melbourne to Berlin via Doha,0.9919
Emirates,Melbourne to Birmingham via Dubai,0.9413
Emirates,Melbourne to Cape Town via Dubai,0.9742
Singapore Airlines,Melbourne to Cape Town via Singapore,-0.1779
Singapore Airlines,Melbourne to Coimbatore via Singapore,0.2601
Cathay Pacific Airways,Melbourne to Colombo via Hong Kong,-0.8591
Singapore Airlines,Melbourne to Delhi via Singapore,-0.5346
Qatar Airways,Melbourne to Doha,0.9829
Qatar Airways,Melbourne to Doha,0.9974
Qatar Airways,Melbourne to Doha,0.9912
Emirates,Melbourne to Dubai,0.9871
Singapore Airlines,Melbourne to Dubai  via Singapore,-0.9294
Qatar Airways,Melbourne to Dubai via Doha,0.9467
Emirates,Melbourne to Dubai via Singapore,-0.8852
Qatar Airways,Melbourne to Dublin  via Doha,0.9351
Qatar Airways,Melbourne to Dublin via Doha,0.9661
Emirates,Melbourne to Frankfurt via Dubai,-0.8717
Cathay Pacific Airways,Melbourne to Frankfurt via Hong Kong,-0.7897
Singapore Airlines,Melbourne to Fukuoka via Singapore,0.9762
Qatar Airways,Melbourne to Geneva via Doha,0.9882
Emirates,Melbourne to Glasgow via Dubai,-0.9458
Singapore Airlines,Melbourne to Hanoi via Singapore,0.8779
Qatar Airways,Melbourne to Helsinki via Doha,-0.2542
Cathay Pacific Airways,Melbourne to Ho Chi Minh City via Hong Kong,0.9866
Cathay Pacific Airways,Melbourne to Hong Kong,-0.9042
Cathay Pacific Airways,Melbourne to Hong Kong,0.4005
Cathay Pacific Airways,Melbourne to Hong Kong,0.984
Cathay Pacific Airways,Melbourne to Hong Kong,0.8977
Singapore Airlines,Melbourne to Jakarta via Singapore,-0.8228
Singapore Airlines,Melbourne to Jakarta via Singapore,0.945
Singapore Airlines,Melbourne to Jakarta via Singapore,0.9476
Singapore Airlines,Melbourne to Koh Samui via Singapore,0.9084
Emirates,Melbourne to Kuala Lumpur via Singapore,0.985
Qatar Airways,Melbourne to Larnaca via Doha,0.9789
Qatar Airways,Melbourne to London via Doha,0.9955
Qatar Airways,Melbourne to London via Doha,0.9633
Emirates,Melbourne to London via Dubai,-0.7906
Singapore Airlines,Melbourne to London via Singapore,0.9167
Singapore Airlines,Melbourne to London via Singapore,-0.4215
Cathay Pacific Airways,Melbourne to Los Angeles via Hong Kong,0.325
Qatar Airways,Melbourne to Madrid via Doha,0.9886
